noise_environment,snr_db,condition_family,method,n,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
DWASHING,0.0,,fused,25,0.9257142857142857,0.3011544127415299,0.3114074074074074,0.3018421052631579,0.3025
DWASHING,0.0,,hierarchical,25,0.9278571428571428,0.3041708196000374,0.3146666666666667,0.3034210526315789,0.30375
DWASHING,0.0,,prototype,25,0.9278571428571429,0.300265350258603,0.3114074074074074,0.29789473684210527,0.30224999999999996
DWASHING,0.0,,raw_softmax,25,0.9257142857142857,0.3030125007423676,0.31288888888888894,0.30315789473684207,0.304
DWASHING,10.0,,fused,25,0.9269047619047618,0.28252455792129116,0.2954074074074074,0.2823684210526316,0.28425
DWASHING,10.0,,hierarchical,25,0.9269047619047619,0.28263636332645325,0.2983703703703704,0.2813157894736842,0.28275
DWASHING,10.0,,prototype,25,0.9285714285714285,0.279989507935743,0.2965925925925926,0.27999999999999997,0.28325
DWASHING,10.0,,raw_softmax,25,0.9271428571428569,0.2835113434002019,0.2939259259259259,0.2855263157894737,0.2875
DWASHING,20.0,,fused,25,0.9149999999999998,0.21160254110424456,0.20503703703703707,0.21157894736842106,0.21775
DWASHING,20.0,,hierarchical,25,0.9276190476190476,0.20612463637257417,0.21125925925925926,0.2055263157894737,0.21275
DWASHING,20.0,,prototype,25,0.9235714285714286,0.20616611086001502,0.20918518518518517,0.20500000000000004,0.21124999999999997
DWASHING,20.0,,raw_softmax,25,0.9138095238095236,0.21324363970976098,0.20385185185185187,0.21289473684210528,0.22049999999999997
STRAFFIC,0.0,,fused,25,0.8964285714285714,0.41431166285650556,0.3848888888888889,0.4234210526315789,0.43675
STRAFFIC,0.0,,hierarchical,25,0.8952380952380952,0.42268247121875513,0.392,0.42921052631578943,0.44375
STRAFFIC,0.0,,prototype,25,0.8911904761904761,0.4109075383572728,0.3863703703703704,0.4221052631578947,0.43424999999999997
STRAFFIC,0.0,,raw_softmax,25,0.8928571428571428,0.4121692933862932,0.3893333333333333,0.4255263157894737,0.43800000000000006
STRAFFIC,10.0,,fused,25,0.913809523809524,0.3257990277515455,0.33037037037037037,0.32368421052631574,0.3285
STRAFFIC,10.0,,hierarchical,25,0.9126190476190476,0.330236807048649,0.33422222222222225,0.3315789473684211,0.33525
STRAFFIC,10.0,,prototype,25,0.9164285714285715,0.3210036542418704,0.3262222222222222,0.323421052631579,0.32299999999999995
STRAFFIC,10.0,,raw_softmax,25,0.9204761904761906,0.33030914183378557,0.3327407407407408,0.3268421052631579,0.33149999999999996
STRAFFIC,20.0,,fused,25,0.9280952380952381,0.29850499106919715,0.31792592592592595,0.30026315789473684,0.29825
STRAFFIC,20.0,,hierarchical,25,0.9297619047619048,0.3002335614398483,0.3191111111111111,0.30026315789473684,0.2995
STRAFFIC,20.0,,prototype,25,0.93,0.2972144852274454,0.31703703703703706,0.2968421052631579,0.29875
STRAFFIC,20.0,,raw_softmax,25,0.9295238095238095,0.29964635048210925,0.31822222222222224,0.30210526315789477,0.301
TBUS,0.0,,fused,25,0.9157142857142857,0.31068762835144087,0.3122962962962963,0.3089473684210526,0.315
TBUS,0.0,,hierarchical,25,0.9188095238095237,0.318135203409124,0.31851851851851853,0.3171052631578947,0.31975000000000003
